วันที่,รหัสหวย,รางวัลทั้งหมด,4ตัวบน,3ตัวบน,2ตัวล่าง
2026-05-03,MAGNUM,"{'lottoType': 'MAGNUM', 'mainNumber': '0405', 'B4': '0405', 'B3': '405', 'B2': '05', 'L3': [], 'L2': '99'}",,,
2026-05-03,VNLOT,"{'lottoType': 'VNLOT', 'mainNumber': '2964', 'B4': '2964', 'B3': '964', 'B2': '64', 'L3': [], 'L2': '78'}",,,
2026-05-03,LV_R02,"{'lottoType': 'LV_R02', 'mainNumber': '102280', 'B4': '1022', 'B3': '022', 'B2': '22', 'L2': '80', 'T4': '0122', 'T3': '022', 'L3': []}",,,
2026-05-03,LV_R03,"{'lottoType': 'LV_R03', 'mainNumber': '855938', 'B4': '8559', 'B3': '559', 'B2': '59', 'L2': '38', 'T4': '5589', 'T3': '559', 'L3': []}",,,
2026-05-03,LV_R04,"{'lottoType': 'LV_R04', 'mainNumber': '730492', 'B4': '7304', 'B3': '304', 'B2': '04', 'L2': '92', 'T4': '0347', 'T3': '034', 'L3': []}",,,
2026-05-03,LV_R05,"{'lottoType': 'LV_R05', 'mainNumber': '213046', 'B4': '2130', 'B3': '130', 'B2': '30', 'L2': '46', 'T4': '0123', 'T3': '013', 'L3': []}",,,
2026-05-03,LV_R06,"{'lottoType': 'LV_R06', 'mainNumber': '317045', 'B4': '3170', 'B3': '170', 'B2': '70', 'L2': '45', 'T4': '0137', 'T3': '017', 'L3': []}",,,
2026-05-03,LV_R07,"{'lottoType': 'LV_R07', 'mainNumber': '705906', 'B4': '7059', 'B3': '059', 'B2': '59', 'L2': '06', 'T4': '0579', 'T3': '059', 'L3': []}",,,
2026-05-03,LV_R08,"{'lottoType': 'LV_R08', 'mainNumber': '901439', 'B4': '9014', 'B3': '014', 'B2': '14', 'L2': '39', 'T4': '0149', 'T3': '014', 'L3': []}",,,
2026-05-03,LV_R09,"{'lottoType': 'LV_R09', 'mainNumber': '302354', 'B4': '3023', 'B3': '023', 'B2': '23', 'L2': '54', 'T4': '0233', 'T3': '023', 'L3': []}",,,
2026-05-03,LV_R13,"{'lottoType': 'LV_R13', 'mainNumber': '480416', 'B4': '4804', 'B3': '804', 'B2': '04', 'L2': '16', 'T4': '0448', 'T3': '048', 'L3': []}",,,
2026-05-03,LV_R14,"{'lottoType': 'LV_R14', 'mainNumber': '796805', 'B4': '7968', 'B3': '968', 'B2': '68', 'L2': '05', 'T4': '6789', 'T3': '689', 'L3': []}",,,
2026-05-03,LV_R17,"{'lottoType': 'LV_R17', 'mainNumber': '005324', 'B4': '0053', 'B3': '053', 'B2': '53', 'L2': '24', 'T4': '0035', 'T3': '035', 'L3': []}",,,
2026-05-03,LV_R19,"{'lottoType': 'LV_R19', 'mainNumber': '072148', 'B4': '0721', 'B3': '721', 'B2': '21', 'L2': '48', 'T4': '0127', 'T3': '127', 'L3': []}",,,
